Price,Make,Model,Year,Color,Engine,Kilometer,Transmission,New
28 500 AZN,Kia,Rio,2021,Qara,1.6 L / 123 a.g. / Benzin,60 600 km,Avtomat,Xeyr
47 000 USD,Kia,Carnival,2021,Qara,2.2 L / 202 a.g. / Dizel,112 000 km,Avtomat,Xeyr
57 700 AZN,Kia,Sorento,2020,Yaş Asfalt,2.2 L / 207 a.g. / Dizel,174 000 km,Avtomat,Xeyr
49 900 AZN,Kia,K5,2022,Yaş Asfalt,2.0 L / 150 a.g. / Benzin,45 000 km,Avtomat,Xeyr
31 800 USD,Kia,Stinger,2020,Göy,2.0 L / 247 a.g. / Benzin,44 000 km,Avtomat,Xeyr
49 000 AZN,Kia,Sorento,2019,Ağ,2.0 L / 184 a.g. / Dizel,85 600 km,Avtomat,Xeyr
47 500 AZN,Kia,Sorento,2019,Ağ,2.0 L / 184 a.g. / Dizel,110 000 km,Avtomat,Xeyr
19 500 AZN,Kia,Ray,2019,Qara,1.0 L / 78 a.g. / Benzin,49 000 km,Avtomat,Xeyr
45 000 AZN,Kia,Carnival,2019,Qara,2.2 L / 202 a.g. / Dizel,105 000 km,Avtomat,Xeyr
60 800 AZN,Kia,K5,2024,Qara,2.0 L / 157 a.g. / Hibrid,0 km,Avtomat,Bəli
28 900 AZN,Kia,Rio X-Line,2021,Qırmızı,1.6 L / 123 a.g. / Benzin,79 500 km,Avtomat,Xeyr
38 500 AZN,Kia,Sorento,2019,Yaş Asfalt,2.0 L / 184 a.g. / Dizel,164 000 km,Avtomat,Xeyr
42 500 AZN,Kia,K5,2021,Göy,1.6 L / 180 a.g. / Benzin,29 987 km,Robot,Xeyr
25 000 USD,Kia,Sportage,2019,Qara,2.4 L / 184 a.g. / Benzin,57 000 km,Avtomat,Xeyr
38 000 AZN,Kia,Sportage,2020,Ağ,2.0 L / 184 a.g. / Dizel,141 000 km,Avtomat,Xeyr
30 500 AZN,Kia,Forte,2019,Göy,1.6 L / 204 a.g. / Benzin,38 450 km,Avtomat,Xeyr
26 200 AZN,Kia,Forte,2021,Yaş Asfalt,2.0 L / 147 a.g. / Benzin,79 200 km,Variator,Xeyr
37 500 AZN,Kia,K5,2020,Yaş Asfalt,1.6 L / 184 a.g. / Benzin,162 000 km,Avtomat,Xeyr
44 000 AZN,Kia,Sportage,2021,Qara,2.0 L / 184 a.g. / Benzin,36 300 km,Avtomat,Xeyr
34 900 USD,Kia,Sorento,2020,Qara,1.6 L / 230 a.g. / Hibrid,120 000 km,Avtomat,Xeyr
45 900 AZN,Kia,Sorento,2019,Ağ,2.0 L / 184 a.g. / Dizel,114 000 km,Avtomat,Xeyr
35 500 AZN,Kia,KX1,2024,Ağ,1.5 L / 150 a.g. / Benzin,0 km,Variator,Bəli
39 700 USD,Kia,Carnival,2022,Boz,2.2 L / 202 a.g. / Dizel,69 000 km,Avtomat,Xeyr
32 750 USD,Kia,Sorento,2023,Ağ,1.6 L / 230 a.g. / Hibrid,14 200 km,Avtomat,Xeyr
40 300 AZN,Kia,Seltos,2021,Qara,2.0 L / 149 a.g. / Benzin,29 500 km,Variator,Xeyr
29 500 USD,Kia,EV5,2024,Gümüşü,218 a.g. / Elektro,0 km,Reduktor,Bəli
26 400 AZN,Kia,Forte,2019,Qara,2.0 L / 147 a.g. / Benzin,80 467 km,Variator,Xeyr
25 500 AZN,Kia,Forte,2020,Qara,2.0 L / 147 a.g. / Benzin,86 300 km,Variator,Xeyr
27 500 AZN,Kia,Cerato,2021,Ağ,2.0 L / 150 a.g. / Benzin,76 650 km,Avtomat,Xeyr
43 000 AZN,Kia,K5,2022,Boz,1.6 L / 180 a.g. / Benzin,79 500 km,Avtomat,Xeyr
